12:39:05.283 [INFO] (trainer.py:175) Episode = 1, T_Steps = 183, E_Steps = 183, R = -0.1123, succ =  0.0000, FPS = 21.06
12:39:06.923 [INFO] (trainer.py:175) Episode = 2, T_Steps = 254, E_Steps = 71, R = -0.6012, succ =  0.0000, FPS = 43.33
12:39:10.658 [INFO] (trainer.py:175) Episode = 3, T_Steps = 419, E_Steps = 165, R = -0.1053, succ =  0.0000, FPS = 44.20
12:39:14.787 [INFO] (trainer.py:175) Episode = 4, T_Steps = 596, E_Steps = 177, R = -0.1477, succ =  0.0000, FPS = 42.88
12:39:18.826 [INFO] (trainer.py:175) Episode = 5, T_Steps = 766, E_Steps = 170, R = -0.1173, succ =  0.0000, FPS = 42.10
12:39:22.894 [INFO] (trainer.py:175) Episode = 6, T_Steps = 930, E_Steps = 164, R = -0.1164, succ =  0.0000, FPS = 40.33
12:39:26.747 [INFO] (trainer.py:175) Episode = 7, T_Steps = 1098, E_Steps = 168, R = -0.0770, succ =  0.0000, FPS = 43.62
12:39:31.159 [INFO] (trainer.py:175) Episode = 8, T_Steps = 1278, E_Steps = 180, R = -0.0891, succ =  0.0000, FPS = 40.81
12:39:34.964 [INFO] (trainer.py:175) Episode = 9, T_Steps = 1456, E_Steps = 178, R = -0.1670, succ =  0.0000, FPS = 46.80
12:39:40.047 [INFO] (trainer.py:175) Episode = 10, T_Steps = 1667, E_Steps = 211, R = -0.1678, succ =  0.0000, FPS = 41.52
12:39:44.749 [INFO] (trainer.py:175) Episode = 11, T_Steps = 1868, E_Steps = 201, R = -0.2651, succ =  0.0000, FPS = 42.77
12:39:49.554 [INFO] (trainer.py:175) Episode = 12, T_Steps = 2066, E_Steps = 198, R = -0.1927, succ =  0.0000, FPS = 41.21
12:39:53.634 [INFO] (trainer.py:175) Episode = 13, T_Steps = 2242, E_Steps = 176, R = -0.1236, succ =  0.0000, FPS = 43.15
12:39:57.446 [INFO] (trainer.py:175) Episode = 14, T_Steps = 2406, E_Steps = 164, R = -0.1592, succ =  0.0000, FPS = 43.04
12:39:59.191 [INFO] (trainer.py:175) Episode = 15, T_Steps = 2479, E_Steps = 73, R = -0.6779, succ =  0.0000, FPS = 41.87
12:40:00.945 [INFO] (trainer.py:175) Episode = 16, T_Steps = 2550, E_Steps = 71, R = -0.6033, succ =  0.0000, FPS = 40.52
12:40:02.280 [INFO] (trainer.py:175) Episode = 17, T_Steps = 2609, E_Steps = 59, R = -0.6395, succ =  0.0000, FPS = 44.23
12:40:03.708 [INFO] (trainer.py:175) Episode = 18, T_Steps = 2671, E_Steps = 62, R = -0.6557, succ =  0.0000, FPS = 43.47
12:40:05.385 [INFO] (trainer.py:175) Episode = 19, T_Steps = 2742, E_Steps = 71, R = -0.6802, succ =  0.0000, FPS = 42.36
12:40:06.783 [INFO] (trainer.py:175) Episode = 20, T_Steps = 2815, E_Steps = 73, R = -0.6733, succ =  0.0000, FPS = 52.27
12:40:10.856 [INFO] (trainer.py:175) Episode = 21, T_Steps = 3000, E_Steps = 185, R = -0.1170, succ =  0.0000, FPS = 45.44
12:40:14.124 [INFO] (trainer.py:175) Episode = 22, T_Steps = 3143, E_Steps = 143, R = -0.0899, succ =  0.0000, FPS = 43.77
12:40:19.002 [INFO] (trainer.py:175) Episode = 23, T_Steps = 3344, E_Steps = 201, R = -0.1730, succ =  0.0000, FPS = 41.22
12:40:23.528 [INFO] (trainer.py:175) Episode = 24, T_Steps = 3537, E_Steps = 193, R = -0.1599, succ =  0.0000, FPS = 42.65
12:40:27.659 [INFO] (trainer.py:175) Episode = 25, T_Steps = 3712, E_Steps = 175, R = -0.1478, succ =  0.0000, FPS = 42.38
12:40:31.662 [INFO] (trainer.py:175) Episode = 26, T_Steps = 3891, E_Steps = 179, R = -0.1539, succ =  0.0000, FPS = 44.73
12:40:35.472 [INFO] (trainer.py:175) Episode = 27, T_Steps = 4060, E_Steps = 169, R = -0.0714, succ =  0.0000, FPS = 44.38
