03:22:39.725 [INFO] (trainer.py:175) Episode = 1, T_Steps = 60, E_Steps = 60, R = -0.6123, succ =  0.0000, FPS =  9.96
03:22:41.578 [INFO] (trainer.py:175) Episode = 2, T_Steps = 130, E_Steps = 70, R = -0.6608, succ =  0.0000, FPS = 37.81
03:22:43.175 [INFO] (trainer.py:175) Episode = 3, T_Steps = 195, E_Steps = 65, R = -0.6988, succ =  0.0000, FPS = 40.73
03:22:44.885 [INFO] (trainer.py:175) Episode = 4, T_Steps = 259, E_Steps = 64, R = -0.6681, succ =  0.0000, FPS = 37.47
03:22:46.531 [INFO] (trainer.py:175) Episode = 5, T_Steps = 321, E_Steps = 62, R = -0.6693, succ =  0.0000, FPS = 37.69
03:22:48.219 [INFO] (trainer.py:175) Episode = 6, T_Steps = 389, E_Steps = 68, R = -0.6699, succ =  0.0000, FPS = 40.31
03:22:50.015 [INFO] (trainer.py:175) Episode = 7, T_Steps = 451, E_Steps = 62, R = -0.6284, succ =  0.0000, FPS = 34.54
03:22:51.787 [INFO] (trainer.py:175) Episode = 8, T_Steps = 520, E_Steps = 69, R = -0.6684, succ =  0.0000, FPS = 38.99
03:22:53.641 [INFO] (trainer.py:175) Episode = 9, T_Steps = 595, E_Steps = 75, R = -0.7004, succ =  0.0000, FPS = 40.48
03:22:55.237 [INFO] (trainer.py:175) Episode = 10, T_Steps = 659, E_Steps = 64, R = -0.6608, succ =  0.0000, FPS = 40.13
03:22:59.587 [INFO] (trainer.py:175) Episode = 11, T_Steps = 841, E_Steps = 182, R = -0.1481, succ =  0.0000, FPS = 41.85
03:23:03.829 [INFO] (trainer.py:175) Episode = 12, T_Steps = 1016, E_Steps = 175, R = -0.1288, succ =  0.0000, FPS = 41.27
03:23:08.397 [INFO] (trainer.py:175) Episode = 13, T_Steps = 1201, E_Steps = 185, R = -0.1476, succ =  0.0000, FPS = 40.51
03:23:11.935 [INFO] (trainer.py:175) Episode = 14, T_Steps = 1356, E_Steps = 155, R = -0.1305, succ =  0.0000, FPS = 43.83
03:23:16.193 [INFO] (trainer.py:175) Episode = 15, T_Steps = 1528, E_Steps = 172, R = -0.1285, succ =  0.0000, FPS = 40.40
03:23:20.108 [INFO] (trainer.py:175) Episode = 16, T_Steps = 1696, E_Steps = 168, R = -0.1209, succ =  0.0000, FPS = 42.93
03:23:24.107 [INFO] (trainer.py:175) Episode = 17, T_Steps = 1854, E_Steps = 158, R = -0.1144, succ =  0.0000, FPS = 39.52
03:23:28.641 [INFO] (trainer.py:175) Episode = 18, T_Steps = 2037, E_Steps = 183, R = -0.1309, succ =  0.0000, FPS = 40.37
03:23:33.035 [INFO] (trainer.py:175) Episode = 19, T_Steps = 2225, E_Steps = 188, R = -0.1732, succ =  0.0000, FPS = 42.80
03:23:37.343 [INFO] (trainer.py:175) Episode = 20, T_Steps = 2404, E_Steps = 179, R = -0.1215, succ =  0.0000, FPS = 41.57
03:23:41.904 [INFO] (trainer.py:175) Episode = 21, T_Steps = 2584, E_Steps = 180, R = -0.1516, succ =  0.0000, FPS = 39.48
03:23:45.478 [INFO] (trainer.py:175) Episode = 22, T_Steps = 2740, E_Steps = 156, R = -0.0833, succ =  0.0000, FPS = 43.66
03:23:49.428 [INFO] (trainer.py:175) Episode = 23, T_Steps = 2899, E_Steps = 159, R = -0.1323, succ =  0.0000, FPS = 40.27
03:23:51.124 [INFO] (trainer.py:175) Episode = 24, T_Steps = 2965, E_Steps = 66, R = -0.6488, succ =  0.0000, FPS = 38.94
03:23:53.009 [INFO] (trainer.py:175) Episode = 25, T_Steps = 3037, E_Steps = 72, R = -0.6984, succ =  0.0000, FPS = 38.22
03:23:57.563 [INFO] (trainer.py:175) Episode = 26, T_Steps = 3225, E_Steps = 188, R = -0.1650, succ =  0.0000, FPS = 41.30
03:24:01.923 [INFO] (trainer.py:175) Episode = 27, T_Steps = 3405, E_Steps = 180, R =  1.8013, succ =  0.0500, FPS = 41.29
03:24:05.995 [INFO] (trainer.py:175) Episode = 28, T_Steps = 3565, E_Steps = 160, R = -0.1273, succ =  0.0500, FPS = 39.31
03:24:10.293 [INFO] (trainer.py:175) Episode = 29, T_Steps = 3736, E_Steps = 171, R = -0.1204, succ =  0.0500, FPS = 39.79
03:24:14.099 [INFO] (trainer.py:175) Episode = 30, T_Steps = 3887, E_Steps = 151, R = -0.0904, succ =  0.0500, FPS = 39.68
03:24:15.271 [INFO] (trainer.py:175) Episode = 31, T_Steps = 3930, E_Steps = 43, R = -0.7379, succ =  0.0500, FPS = 36.75
03:24:17.212 [INFO] (trainer.py:175) Episode = 32, T_Steps = 4009, E_Steps = 79, R = -0.6835, succ =  0.0500, FPS = 40.72
03:24:21.234 [INFO] (trainer.py:175) Episode = 33, T_Steps = 4176, E_Steps = 167, R = -0.1469, succ =  0.0500, FPS = 41.54
03:24:25.717 [INFO] (trainer.py:175) Episode = 34, T_Steps = 4357, E_Steps = 181, R = -0.1658, succ =  0.0500, FPS = 40.39
03:24:29.661 [INFO] (trainer.py:175) Episode = 35, T_Steps = 4521, E_Steps = 164, R = -0.1097, succ =  0.0500, FPS = 41.59
03:24:33.753 [INFO] (trainer.py:175) Episode = 36, T_Steps = 4686, E_Steps = 165, R = -0.1269, succ =  0.0500, FPS = 40.33
03:24:38.635 [INFO] (trainer.py:175) Episode = 37, T_Steps = 4880, E_Steps = 194, R = -0.1886, succ =  0.0500, FPS = 39.75
03:24:43.628 [INFO] (trainer.py:175) Episode = 38, T_Steps = 5083, E_Steps = 203, R = -0.1621, succ =  0.0500, FPS = 40.66
03:24:45.109 [INFO] (trainer.py:175) Episode = 39, T_Steps = 5143, E_Steps = 60, R = -0.6354, succ =  0.0500, FPS = 40.56
03:24:49.347 [INFO] (trainer.py:175) Episode = 40, T_Steps = 5322, E_Steps = 179, R = -0.1683, succ =  0.0500, FPS = 42.25
03:24:53.111 [INFO] (trainer.py:175) Episode = 41, T_Steps = 5482, E_Steps = 160, R = -0.1271, succ =  0.0500, FPS = 42.52
03:24:57.216 [INFO] (trainer.py:175) Episode = 42, T_Steps = 5647, E_Steps = 165, R = -0.1747, succ =  0.0500, FPS = 40.21
