19:52:17.649 [INFO] (trainer.py:174) Episode = 1, T_Steps = 26, E_Steps = 26, R = -0.8416, succ =  0.0000, FPS =  5.78
19:52:22.102 [INFO] (trainer.py:174) Episode = 2, T_Steps = 227, E_Steps = 201, R =  1.9284, succ =  0.0500, FPS = 45.16
19:52:26.992 [INFO] (trainer.py:174) Episode = 3, T_Steps = 469, E_Steps = 242, R = -0.0297, succ =  0.0500, FPS = 49.50
19:52:31.018 [INFO] (trainer.py:174) Episode = 4, T_Steps = 658, E_Steps = 189, R = -0.0259, succ =  0.0500, FPS = 46.95
19:52:35.304 [INFO] (trainer.py:174) Episode = 5, T_Steps = 860, E_Steps = 202, R =  1.9404, succ =  0.1000, FPS = 47.15
19:52:39.465 [INFO] (trainer.py:174) Episode = 6, T_Steps = 1058, E_Steps = 198, R =  1.9854, succ =  0.1500, FPS = 47.60
19:52:43.774 [INFO] (trainer.py:174) Episode = 7, T_Steps = 1264, E_Steps = 206, R =  0.0286, succ =  0.1500, FPS = 47.82
19:52:47.947 [INFO] (trainer.py:174) Episode = 8, T_Steps = 1463, E_Steps = 199, R =  0.0071, succ =  0.1500, FPS = 47.70
19:52:51.964 [INFO] (trainer.py:174) Episode = 9, T_Steps = 1649, E_Steps = 186, R =  1.9787, succ =  0.2000, FPS = 46.33
19:52:53.204 [INFO] (trainer.py:174) Episode = 10, T_Steps = 1674, E_Steps = 25, R = -0.8305, succ =  0.2000, FPS = 20.18
19:52:57.340 [INFO] (trainer.py:174) Episode = 11, T_Steps = 1867, E_Steps = 193, R =  0.0450, succ =  0.2000, FPS = 46.68
19:53:01.290 [INFO] (trainer.py:174) Episode = 12, T_Steps = 2052, E_Steps = 185, R =  1.9617, succ =  0.2500, FPS = 46.85
19:53:05.865 [INFO] (trainer.py:174) Episode = 13, T_Steps = 2264, E_Steps = 212, R =  1.8981, succ =  0.3000, FPS = 46.36
19:53:09.945 [INFO] (trainer.py:174) Episode = 14, T_Steps = 2455, E_Steps = 191, R =  1.9774, succ =  0.3500, FPS = 46.82
19:53:13.947 [INFO] (trainer.py:174) Episode = 15, T_Steps = 2641, E_Steps = 186, R =  1.9775, succ =  0.4000, FPS = 46.49
19:53:18.299 [INFO] (trainer.py:174) Episode = 16, T_Steps = 2847, E_Steps = 206, R =  1.9317, succ =  0.4500, FPS = 47.35
19:53:22.762 [INFO] (trainer.py:174) Episode = 17, T_Steps = 3060, E_Steps = 213, R =  2.0191, succ =  0.5000, FPS = 47.74
19:53:23.993 [INFO] (trainer.py:174) Episode = 18, T_Steps = 3084, E_Steps = 24, R = -0.8345, succ =  0.5000, FPS = 19.51
19:53:27.887 [INFO] (trainer.py:174) Episode = 19, T_Steps = 3265, E_Steps = 181, R =  0.0702, succ =  0.5000, FPS = 46.50
19:53:32.273 [INFO] (trainer.py:174) Episode = 20, T_Steps = 3476, E_Steps = 211, R =  0.0123, succ =  0.5000, FPS = 48.13
19:53:36.877 [INFO] (trainer.py:174) Episode = 21, T_Steps = 3698, E_Steps = 222, R =  1.9505, succ =  0.5500, FPS = 48.22
19:53:38.168 [INFO] (trainer.py:174) Episode = 22, T_Steps = 3726, E_Steps = 28, R = -0.8522, succ =  0.5000, FPS = 21.71
19:53:39.617 [INFO] (trainer.py:174) Episode = 23, T_Steps = 3761, E_Steps = 35, R = -0.7768, succ =  0.5000, FPS = 24.18
19:53:43.910 [INFO] (trainer.py:174) Episode = 24, T_Steps = 3962, E_Steps = 201, R =  1.9633, succ =  0.5500, FPS = 46.84
19:53:45.167 [INFO] (trainer.py:174) Episode = 25, T_Steps = 3986, E_Steps = 24, R = -0.8348, succ =  0.5000, FPS = 19.10
19:53:49.411 [INFO] (trainer.py:174) Episode = 26, T_Steps = 4168, E_Steps = 182, R =  2.0115, succ =  0.5000, FPS = 42.90
19:53:50.716 [INFO] (trainer.py:174) Episode = 27, T_Steps = 4196, E_Steps = 28, R = -0.8052, succ =  0.5000, FPS = 21.46
19:53:54.942 [INFO] (trainer.py:174) Episode = 28, T_Steps = 4398, E_Steps = 202, R = -0.0223, succ =  0.5000, FPS = 47.82
19:53:59.394 [INFO] (trainer.py:174) Episode = 29, T_Steps = 4610, E_Steps = 212, R = -0.0086, succ =  0.4500, FPS = 47.63
19:54:03.654 [INFO] (trainer.py:174) Episode = 30, T_Steps = 4810, E_Steps = 200, R =  0.0040, succ =  0.4500, FPS = 46.96
19:54:05.022 [INFO] (trainer.py:174) Episode = 31, T_Steps = 4838, E_Steps = 28, R = -0.8065, succ =  0.4500, FPS = 20.49
19:54:06.271 [INFO] (trainer.py:174) Episode = 32, T_Steps = 4861, E_Steps = 23, R = -0.8419, succ =  0.4000, FPS = 18.44
19:54:10.663 [INFO] (trainer.py:174) Episode = 33, T_Steps = 5069, E_Steps = 208, R =  1.9168, succ =  0.4000, FPS = 47.37
19:54:15.325 [INFO] (trainer.py:174) Episode = 34, T_Steps = 5287, E_Steps = 218, R =  1.9472, succ =  0.4000, FPS = 46.77
19:54:16.995 [INFO] (trainer.py:174) Episode = 35, T_Steps = 5339, E_Steps = 52, R = -0.7723, succ =  0.3500, FPS = 31.16
19:54:21.174 [INFO] (trainer.py:174) Episode = 36, T_Steps = 5532, E_Steps = 193, R =  0.0625, succ =  0.3000, FPS = 46.20
