21:46:51.352 [INFO] (trainer.py:174) Episode = 1, T_Steps = 195, E_Steps = 195, R =  0.0777, succ =  0.0000, FPS = 26.37
21:46:55.739 [INFO] (trainer.py:174) Episode = 2, T_Steps = 384, E_Steps = 189, R =  1.9549, succ =  0.0500, FPS = 43.10
21:47:00.334 [INFO] (trainer.py:174) Episode = 3, T_Steps = 603, E_Steps = 219, R =  1.9300, succ =  0.1000, FPS = 47.67
21:47:04.783 [INFO] (trainer.py:174) Episode = 4, T_Steps = 819, E_Steps = 216, R = -0.0237, succ =  0.1000, FPS = 48.56
21:47:08.775 [INFO] (trainer.py:174) Episode = 5, T_Steps = 1004, E_Steps = 185, R =  0.0646, succ =  0.1000, FPS = 46.36
21:47:13.074 [INFO] (trainer.py:174) Episode = 6, T_Steps = 1207, E_Steps = 203, R =  0.0471, succ =  0.1000, FPS = 47.23
21:47:17.602 [INFO] (trainer.py:174) Episode = 7, T_Steps = 1417, E_Steps = 210, R =  1.9259, succ =  0.1500, FPS = 46.40
21:47:21.994 [INFO] (trainer.py:174) Episode = 8, T_Steps = 1624, E_Steps = 207, R =  0.0344, succ =  0.1500, FPS = 47.14
21:47:23.986 [INFO] (trainer.py:174) Episode = 9, T_Steps = 1693, E_Steps = 69, R = -0.7506, succ =  0.1500, FPS = 34.65
21:47:28.536 [INFO] (trainer.py:174) Episode = 10, T_Steps = 1907, E_Steps = 214, R =  0.0583, succ =  0.1500, FPS = 47.05
21:47:32.880 [INFO] (trainer.py:174) Episode = 11, T_Steps = 2109, E_Steps = 202, R =  0.0445, succ =  0.1500, FPS = 46.51
21:47:37.114 [INFO] (trainer.py:174) Episode = 12, T_Steps = 2311, E_Steps = 202, R =  1.9374, succ =  0.2000, FPS = 47.72
21:47:41.443 [INFO] (trainer.py:174) Episode = 13, T_Steps = 2514, E_Steps = 203, R =  0.0382, succ =  0.2000, FPS = 46.90
21:47:42.778 [INFO] (trainer.py:174) Episode = 14, T_Steps = 2542, E_Steps = 28, R = -0.8148, succ =  0.2000, FPS = 21.00
21:47:47.287 [INFO] (trainer.py:174) Episode = 15, T_Steps = 2749, E_Steps = 207, R =  0.0091, succ =  0.2000, FPS = 45.91
21:47:51.731 [INFO] (trainer.py:174) Episode = 16, T_Steps = 2959, E_Steps = 210, R =  0.0423, succ =  0.2000, FPS = 47.27
21:47:52.960 [INFO] (trainer.py:174) Episode = 17, T_Steps = 2980, E_Steps = 21, R = -0.8499, succ =  0.2000, FPS = 17.10
21:47:57.186 [INFO] (trainer.py:174) Episode = 18, T_Steps = 3174, E_Steps = 194, R =  1.9516, succ =  0.2500, FPS = 45.93
21:47:58.551 [INFO] (trainer.py:174) Episode = 19, T_Steps = 3200, E_Steps = 26, R = -0.8232, succ =  0.2500, FPS = 19.06
21:47:59.987 [INFO] (trainer.py:174) Episode = 20, T_Steps = 3230, E_Steps = 30, R = -0.8527, succ =  0.2500, FPS = 20.90
21:48:04.083 [INFO] (trainer.py:174) Episode = 21, T_Steps = 3418, E_Steps = 188, R =  1.9795, succ =  0.3000, FPS = 45.91
