23:41:44.531 [INFO] (trainer.py:174) Episode = 1, T_Steps = 77, E_Steps = 77, R = -0.7273, succ =  0.0000, FPS = 13.80
23:41:48.419 [INFO] (trainer.py:174) Episode = 2, T_Steps = 252, E_Steps = 175, R =  2.0306, succ =  0.0500, FPS = 45.03
23:41:52.846 [INFO] (trainer.py:174) Episode = 3, T_Steps = 461, E_Steps = 209, R =  1.9261, succ =  0.1000, FPS = 47.23
23:41:56.953 [INFO] (trainer.py:174) Episode = 4, T_Steps = 644, E_Steps = 183, R =  1.9994, succ =  0.1500, FPS = 44.56
23:42:01.391 [INFO] (trainer.py:174) Episode = 5, T_Steps = 849, E_Steps = 205, R =  0.0218, succ =  0.1500, FPS = 46.21
23:42:05.915 [INFO] (trainer.py:174) Episode = 6, T_Steps = 1045, E_Steps = 196, R =  1.8893, succ =  0.2000, FPS = 43.34
23:42:10.905 [INFO] (trainer.py:174) Episode = 7, T_Steps = 1278, E_Steps = 233, R = -0.0510, succ =  0.2000, FPS = 46.71
23:42:15.439 [INFO] (trainer.py:174) Episode = 8, T_Steps = 1489, E_Steps = 211, R =  0.0130, succ =  0.2000, FPS = 46.55
23:42:19.910 [INFO] (trainer.py:174) Episode = 9, T_Steps = 1698, E_Steps = 209, R =  1.9217, succ =  0.2500, FPS = 46.75
23:42:24.616 [INFO] (trainer.py:174) Episode = 10, T_Steps = 1918, E_Steps = 220, R = -0.0234, succ =  0.2500, FPS = 46.76
23:42:29.444 [INFO] (trainer.py:174) Episode = 11, T_Steps = 2149, E_Steps = 231, R =  0.0604, succ =  0.2500, FPS = 47.86
23:42:35.057 [INFO] (trainer.py:174) Episode = 12, T_Steps = 2430, E_Steps = 281, R =  2.3709, succ =  0.3000, FPS = 50.07
23:42:39.269 [INFO] (trainer.py:174) Episode = 13, T_Steps = 2621, E_Steps = 191, R =  1.9340, succ =  0.3500, FPS = 45.36
23:42:43.814 [INFO] (trainer.py:174) Episode = 14, T_Steps = 2843, E_Steps = 222, R = -0.0570, succ =  0.3500, FPS = 48.86
23:42:48.307 [INFO] (trainer.py:174) Episode = 15, T_Steps = 3053, E_Steps = 210, R =  0.0517, succ =  0.3500, FPS = 46.75
23:42:52.479 [INFO] (trainer.py:174) Episode = 16, T_Steps = 3251, E_Steps = 198, R =  0.0299, succ =  0.3500, FPS = 47.48
23:42:56.760 [INFO] (trainer.py:174) Episode = 17, T_Steps = 3445, E_Steps = 194, R =  0.0821, succ =  0.3500, FPS = 45.33
23:43:01.192 [INFO] (trainer.py:174) Episode = 18, T_Steps = 3650, E_Steps = 205, R =  0.0600, succ =  0.3500, FPS = 46.26
23:43:05.866 [INFO] (trainer.py:174) Episode = 19, T_Steps = 3861, E_Steps = 211, R =  1.9491, succ =  0.4000, FPS = 45.16
23:43:09.895 [INFO] (trainer.py:174) Episode = 20, T_Steps = 4047, E_Steps = 186, R =  2.0178, succ =  0.4500, FPS = 46.18
23:43:11.284 [INFO] (trainer.py:174) Episode = 21, T_Steps = 4071, E_Steps = 24, R = -0.8349, succ =  0.4500, FPS = 17.29
23:43:15.229 [INFO] (trainer.py:174) Episode = 22, T_Steps = 4251, E_Steps = 180, R =  1.9664, succ =  0.4500, FPS = 45.64
23:43:19.466 [INFO] (trainer.py:174) Episode = 23, T_Steps = 4451, E_Steps = 200, R =  1.9732, succ =  0.4500, FPS = 47.22
23:43:20.738 [INFO] (trainer.py:174) Episode = 24, T_Steps = 4474, E_Steps = 23, R = -0.8385, succ =  0.4000, FPS = 18.09
23:43:25.131 [INFO] (trainer.py:174) Episode = 25, T_Steps = 4678, E_Steps = 204, R =  0.0043, succ =  0.4000, FPS = 46.45
23:43:26.490 [INFO] (trainer.py:174) Episode = 26, T_Steps = 4706, E_Steps = 28, R = -0.8098, succ =  0.3500, FPS = 20.61
23:43:27.827 [INFO] (trainer.py:174) Episode = 27, T_Steps = 4732, E_Steps = 26, R = -0.8338, succ =  0.3500, FPS = 19.48
23:43:31.797 [INFO] (trainer.py:174) Episode = 28, T_Steps = 4914, E_Steps = 182, R =  2.0208, succ =  0.4000, FPS = 45.87
23:43:36.201 [INFO] (trainer.py:174) Episode = 29, T_Steps = 5127, E_Steps = 213, R = -0.0714, succ =  0.3500, FPS = 48.38
23:43:40.864 [INFO] (trainer.py:174) Episode = 30, T_Steps = 5348, E_Steps = 221, R =  0.0123, succ =  0.3500, FPS = 47.42
23:43:45.407 [INFO] (trainer.py:174) Episode = 31, T_Steps = 5558, E_Steps = 210, R =  1.9832, succ =  0.4000, FPS = 46.23
23:43:49.967 [INFO] (trainer.py:174) Episode = 32, T_Steps = 5773, E_Steps = 215, R =  0.0194, succ =  0.3500, FPS = 47.16
23:43:54.846 [INFO] (trainer.py:174) Episode = 33, T_Steps = 5996, E_Steps = 223, R =  1.8814, succ =  0.3500, FPS = 45.72
23:44:00.096 [INFO] (trainer.py:174) Episode = 34, T_Steps = 6025, E_Steps = 29, R = -0.8003, succ =  0.3500, FPS =  5.52
23:44:15.175 [INFO] (trainer.py:174) Episode = 35, T_Steps = 6238, E_Steps = 213, R = -0.2784, succ =  0.3500, FPS = 14.13
23:44:28.197 [INFO] (trainer.py:174) Episode = 36, T_Steps = 6421, E_Steps = 183, R =  1.9417, succ =  0.4000, FPS = 14.05
23:44:39.518 [INFO] (trainer.py:174) Episode = 37, T_Steps = 6578, E_Steps = 157, R =  1.9250, succ =  0.4500, FPS = 13.87
23:44:55.400 [INFO] (trainer.py:174) Episode = 38, T_Steps = 6800, E_Steps = 222, R = -0.0404, succ =  0.4500, FPS = 13.98
23:45:08.255 [INFO] (trainer.py:174) Episode = 39, T_Steps = 6980, E_Steps = 180, R =  1.9104, succ =  0.4500, FPS = 14.00
23:45:16.394 [INFO] (trainer.py:174) Episode = 40, T_Steps = 7090, E_Steps = 110, R = -0.5129, succ =  0.4000, FPS = 13.52
23:45:19.361 [INFO] (trainer.py:174) Episode = 41, T_Steps = 7121, E_Steps = 31, R = -0.8037, succ =  0.4000, FPS = 10.45
23:45:31.791 [INFO] (trainer.py:174) Episode = 42, T_Steps = 7296, E_Steps = 175, R =  2.0152, succ =  0.4000, FPS = 14.08
23:45:48.972 [INFO] (trainer.py:174) Episode = 43, T_Steps = 7545, E_Steps = 249, R = -0.1899, succ =  0.3500, FPS = 14.49
23:46:05.860 [INFO] (trainer.py:174) Episode = 44, T_Steps = 7789, E_Steps = 244, R = -0.1835, succ =  0.3500, FPS = 14.45
23:46:19.282 [INFO] (trainer.py:174) Episode = 45, T_Steps = 7980, E_Steps = 191, R = -0.2038, succ =  0.3500, FPS = 14.23
23:46:30.331 [INFO] (trainer.py:174) Episode = 46, T_Steps = 8134, E_Steps = 154, R =  1.8952, succ =  0.4000, FPS = 13.94
23:46:47.914 [INFO] (trainer.py:174) Episode = 47, T_Steps = 8389, E_Steps = 255, R = -0.0877, succ =  0.4000, FPS = 14.50
23:47:05.729 [INFO] (trainer.py:174) Episode = 48, T_Steps = 8650, E_Steps = 261, R = -0.1928, succ =  0.3500, FPS = 14.65
