04:15:59.761 [INFO] (trainer.py:174) Episode = 1, T_Steps = 591, E_Steps = 591, R =  1.3821, succ =  0.0500, FPS = 16.67
04:16:10.433 [INFO] (trainer.py:174) Episode = 2, T_Steps = 792, E_Steps = 201, R = -0.8686, succ =  0.0500, FPS = 18.84
04:16:38.824 [INFO] (trainer.py:174) Episode = 3, T_Steps = 1386, E_Steps = 594, R =  1.3838, succ =  0.1000, FPS = 20.92
04:16:50.701 [INFO] (trainer.py:174) Episode = 4, T_Steps = 1655, E_Steps = 269, R = -0.8248, succ =  0.1000, FPS = 22.65
04:17:09.827 [INFO] (trainer.py:174) Episode = 5, T_Steps = 2044, E_Steps = 389, R = -0.7505, succ =  0.1000, FPS = 20.34
04:17:34.979 [INFO] (trainer.py:174) Episode = 6, T_Steps = 2645, E_Steps = 601, R =  1.3947, succ =  0.1500, FPS = 23.90
04:17:39.442 [INFO] (trainer.py:174) Episode = 7, T_Steps = 2672, E_Steps = 27, R = -0.9820, succ =  0.1500, FPS =  6.05
04:18:01.290 [INFO] (trainer.py:174) Episode = 8, T_Steps = 3103, E_Steps = 431, R = -0.7217, succ =  0.1500, FPS = 19.74
04:18:03.948 [INFO] (trainer.py:174) Episode = 9, T_Steps = 3127, E_Steps = 24, R = -0.9842, succ =  0.1500, FPS =  9.03
04:18:32.395 [INFO] (trainer.py:174) Episode = 10, T_Steps = 3729, E_Steps = 602, R =  1.3886, succ =  0.2000, FPS = 21.16
04:18:58.211 [INFO] (trainer.py:174) Episode = 11, T_Steps = 4322, E_Steps = 593, R =  1.3853, succ =  0.2500, FPS = 22.98
04:19:18.010 [INFO] (trainer.py:174) Episode = 12, T_Steps = 4732, E_Steps = 410, R = -0.7355, succ =  0.2500, FPS = 20.71
04:19:31.543 [INFO] (trainer.py:174) Episode = 13, T_Steps = 5017, E_Steps = 285, R = -0.8111, succ =  0.2500, FPS = 21.06
04:19:37.288 [INFO] (trainer.py:174) Episode = 14, T_Steps = 5068, E_Steps = 51, R = -0.9644, succ =  0.2500, FPS =  8.88
04:20:06.273 [INFO] (trainer.py:174) Episode = 15, T_Steps = 5669, E_Steps = 601, R =  1.3959, succ =  0.3000, FPS = 20.74
04:20:58.110 [INFO] (trainer.py:174) Episode = 16, T_Steps = 6278, E_Steps = 609, R =  1.3981, succ =  0.3500, FPS = 11.75
04:21:26.021 [INFO] (trainer.py:174) Episode = 17, T_Steps = 6500, E_Steps = 222, R = -0.8564, succ =  0.3500, FPS =  7.95
04:21:48.459 [INFO] (trainer.py:174) Episode = 18, T_Steps = 6671, E_Steps = 171, R = -0.8872, succ =  0.3500, FPS =  7.62
04:22:14.588 [INFO] (trainer.py:174) Episode = 19, T_Steps = 6896, E_Steps = 225, R = -0.8559, succ =  0.3500, FPS =  8.61
04:23:20.223 [INFO] (trainer.py:174) Episode = 20, T_Steps = 7482, E_Steps = 586, R =  1.3749, succ =  0.4000, FPS =  8.93
04:23:47.692 [INFO] (trainer.py:174) Episode = 21, T_Steps = 7696, E_Steps = 214, R = -0.8623, succ =  0.3500, FPS =  7.79
04:23:54.638 [INFO] (trainer.py:174) Episode = 22, T_Steps = 7730, E_Steps = 34, R = -0.9785, succ =  0.3500, FPS =  4.90
04:24:38.191 [INFO] (trainer.py:174) Episode = 23, T_Steps = 8109, E_Steps = 379, R = -0.7570, succ =  0.3000, FPS =  8.70
04:25:27.545 [INFO] (trainer.py:174) Episode = 24, T_Steps = 8507, E_Steps = 398, R = -0.7486, succ =  0.3000, FPS =  8.06
04:26:14.496 [INFO] (trainer.py:174) Episode = 25, T_Steps = 8917, E_Steps = 410, R = -0.7386, succ =  0.3000, FPS =  8.73
04:26:21.079 [INFO] (trainer.py:174) Episode = 26, T_Steps = 8950, E_Steps = 33, R = -0.9792, succ =  0.2500, FPS =  5.01
04:27:09.613 [INFO] (trainer.py:174) Episode = 27, T_Steps = 9369, E_Steps = 419, R = -0.7328, succ =  0.2500, FPS =  8.63
04:28:04.047 [INFO] (trainer.py:174) Episode = 28, T_Steps = 9852, E_Steps = 483, R = -0.6915, succ =  0.2500, FPS =  8.87
04:29:21.154 [INFO] (trainer.py:174) Episode = 29, T_Steps = 10544, E_Steps = 692, R =  1.4515, succ =  0.3000, FPS =  8.97
04:30:39.996 [INFO] (trainer.py:174) Episode = 30, T_Steps = 11233, E_Steps = 689, R =  1.4482, succ =  0.3000, FPS =  8.74
04:31:55.116 [INFO] (trainer.py:174) Episode = 31, T_Steps = 11906, E_Steps = 673, R =  1.4400, succ =  0.3000, FPS =  8.96
04:33:11.758 [INFO] (trainer.py:174) Episode = 32, T_Steps = 12574, E_Steps = 668, R =  1.4334, succ =  0.3500, FPS =  8.72
04:34:18.446 [INFO] (trainer.py:174) Episode = 33, T_Steps = 13151, E_Steps = 577, R = -0.6246, succ =  0.3500, FPS =  8.65
04:34:26.263 [INFO] (trainer.py:174) Episode = 34, T_Steps = 13200, E_Steps = 49, R = -0.9672, succ =  0.3500, FPS =  6.27
04:35:52.083 [INFO] (trainer.py:174) Episode = 35, T_Steps = 13955, E_Steps = 755, R =  1.4988, succ =  0.3500, FPS =  8.80
04:36:53.825 [INFO] (trainer.py:174) Episode = 36, T_Steps = 14503, E_Steps = 548, R = -0.6494, succ =  0.3000, FPS =  8.88
04:37:41.875 [INFO] (trainer.py:174) Episode = 37, T_Steps = 14917, E_Steps = 414, R = -0.7326, succ =  0.3000, FPS =  8.62
04:39:01.725 [INFO] (trainer.py:174) Episode = 38, T_Steps = 15619, E_Steps = 702, R = -0.5453, succ =  0.3000, FPS =  8.79
04:39:08.000 [INFO] (trainer.py:174) Episode = 39, T_Steps = 15656, E_Steps = 37, R = -0.9769, succ =  0.3000, FPS =  5.90
04:40:06.976 [INFO] (trainer.py:174) Episode = 40, T_Steps = 16175, E_Steps = 519, R = -0.6641, succ =  0.2500, FPS =  8.80
04:40:14.708 [INFO] (trainer.py:174) Episode = 41, T_Steps = 16212, E_Steps = 37, R = -0.9756, succ =  0.2500, FPS =  4.79
04:41:15.148 [INFO] (trainer.py:174) Episode = 42, T_Steps = 16721, E_Steps = 509, R = -0.6725, succ =  0.2500, FPS =  8.42
04:41:26.052 [INFO] (trainer.py:174) Episode = 43, T_Steps = 16810, E_Steps = 89, R = -0.9395, succ =  0.2500, FPS =  8.17
04:41:38.098 [INFO] (trainer.py:174) Episode = 44, T_Steps = 16879, E_Steps = 69, R = -0.9526, succ =  0.2500, FPS =  5.73
04:41:44.970 [INFO] (trainer.py:174) Episode = 45, T_Steps = 16911, E_Steps = 32, R = -0.9791, succ =  0.2500, FPS =  4.66
04:41:56.476 [INFO] (trainer.py:174) Episode = 46, T_Steps = 16986, E_Steps = 75, R = -0.9499, succ =  0.2500, FPS =  6.52
04:42:03.605 [INFO] (trainer.py:174) Episode = 47, T_Steps = 17020, E_Steps = 34, R = -0.9797, succ =  0.2500, FPS =  4.78
04:43:20.426 [INFO] (trainer.py:174) Episode = 48, T_Steps = 17722, E_Steps = 702, R =  1.4578, succ =  0.3000, FPS =  9.14
04:44:36.368 [INFO] (trainer.py:174) Episode = 49, T_Steps = 18440, E_Steps = 718, R =  1.4649, succ =  0.3000, FPS =  9.46
04:45:20.587 [INFO] (trainer.py:174) Episode = 50, T_Steps = 18807, E_Steps = 367, R = -0.7657, succ =  0.2500, FPS =  8.30
04:46:39.288 [INFO] (trainer.py:174) Episode = 51, T_Steps = 19525, E_Steps = 718, R =  1.4635, succ =  0.2500, FPS =  9.12
04:47:42.356 [INFO] (trainer.py:174) Episode = 52, T_Steps = 20049, E_Steps = 524, R = -0.6671, succ =  0.2000, FPS =  8.31
04:49:03.637 [INFO] (trainer.py:174) Episode = 53, T_Steps = 20788, E_Steps = 739, R =  1.4820, succ =  0.2500, FPS =  9.09
04:50:22.735 [INFO] (trainer.py:174) Episode = 54, T_Steps = 21509, E_Steps = 721, R =  1.4650, succ =  0.3000, FPS =  9.12
04:51:29.027 [INFO] (trainer.py:174) Episode = 55, T_Steps = 22084, E_Steps = 575, R = -0.6331, succ =  0.2500, FPS =  8.67
04:52:51.110 [INFO] (trainer.py:174) Episode = 56, T_Steps = 22809, E_Steps = 725, R =  1.4723, succ =  0.3000, FPS =  8.83
04:53:28.563 [INFO] (trainer.py:174) Episode = 57, T_Steps = 23129, E_Steps = 320, R = -0.7935, succ =  0.3000, FPS =  8.55
04:54:10.972 [INFO] (trainer.py:174) Episode = 58, T_Steps = 23473, E_Steps = 344, R = -0.7802, succ =  0.3000, FPS =  8.11
04:54:41.820 [INFO] (trainer.py:174) Episode = 59, T_Steps = 23738, E_Steps = 265, R = -0.8259, succ =  0.3000, FPS =  8.59
04:56:16.592 [INFO] (trainer.py:174) Episode = 60, T_Steps = 24595, E_Steps = 857, R =  1.5638, succ =  0.3500, FPS =  9.04
04:57:19.829 [INFO] (trainer.py:174) Episode = 61, T_Steps = 25158, E_Steps = 563, R = -0.6374, succ =  0.3500, FPS =  8.90
04:58:16.584 [INFO] (trainer.py:174) Episode = 62, T_Steps = 25652, E_Steps = 494, R = -0.6831, succ =  0.3500, FPS =  8.70
04:59:17.001 [INFO] (trainer.py:174) Episode = 63, T_Steps = 26162, E_Steps = 510, R = -0.6708, succ =  0.3500, FPS =  8.44
05:00:13.176 [INFO] (trainer.py:174) Episode = 64, T_Steps = 26649, E_Steps = 487, R = -0.6906, succ =  0.3500, FPS =  8.67
05:00:20.304 [INFO] (trainer.py:174) Episode = 65, T_Steps = 26688, E_Steps = 39, R = -0.9760, succ =  0.3500, FPS =  5.47
05:01:41.930 [INFO] (trainer.py:174) Episode = 66, T_Steps = 27415, E_Steps = 727, R =  1.4694, succ =  0.4000, FPS =  8.91
05:03:07.203 [INFO] (trainer.py:174) Episode = 67, T_Steps = 28154, E_Steps = 739, R =  1.4826, succ =  0.4500, FPS =  8.67
05:04:26.459 [INFO] (trainer.py:174) Episode = 68, T_Steps = 28840, E_Steps = 686, R =  1.4414, succ =  0.4500, FPS =  8.66
05:05:45.050 [INFO] (trainer.py:174) Episode = 69, T_Steps = 29531, E_Steps = 691, R =  1.4478, succ =  0.4500, FPS =  8.79
05:06:23.964 [INFO] (trainer.py:174) Episode = 70, T_Steps = 29868, E_Steps = 337, R = -0.7857, succ =  0.4500, FPS =  8.66
05:06:31.207 [INFO] (trainer.py:174) Episode = 71, T_Steps = 29904, E_Steps = 36, R = -0.9777, succ =  0.4000, FPS =  4.97
05:07:05.051 [INFO] (trainer.py:174) Episode = 72, T_Steps = 30204, E_Steps = 300, R = -0.8086, succ =  0.4000, FPS =  8.86
05:08:25.887 [INFO] (trainer.py:174) Episode = 73, T_Steps = 30893, E_Steps = 689, R =  1.4427, succ =  0.4000, FPS =  8.52
05:09:18.139 [INFO] (trainer.py:174) Episode = 74, T_Steps = 31350, E_Steps = 457, R = -0.7084, succ =  0.3500, FPS =  8.75
05:09:43.704 [INFO] (trainer.py:174) Episode = 75, T_Steps = 31691, E_Steps = 341, R = -0.7809, succ =  0.3500, FPS = 13.34
05:10:13.745 [INFO] (trainer.py:174) Episode = 76, T_Steps = 32102, E_Steps = 411, R = -0.7381, succ =  0.3000, FPS = 13.68
05:10:31.678 [INFO] (trainer.py:174) Episode = 77, T_Steps = 32342, E_Steps = 240, R = -0.8465, succ =  0.3000, FPS = 13.38
05:11:20.519 [INFO] (trainer.py:174) Episode = 78, T_Steps = 33039, E_Steps = 697, R =  1.4516, succ =  0.3500, FPS = 14.27
05:12:09.613 [INFO] (trainer.py:174) Episode = 79, T_Steps = 33742, E_Steps = 703, R =  1.4518, succ =  0.4000, FPS = 14.32
05:12:53.588 [INFO] (trainer.py:174) Episode = 80, T_Steps = 34366, E_Steps = 624, R = -0.6044, succ =  0.3500, FPS = 14.19
05:13:46.048 [INFO] (trainer.py:174) Episode = 81, T_Steps = 35060, E_Steps = 694, R =  1.4446, succ =  0.4000, FPS = 13.23
05:15:09.909 [INFO] (trainer.py:174) Episode = 82, T_Steps = 35791, E_Steps = 731, R =  1.4736, succ =  0.4500, FPS =  8.72
05:16:25.438 [INFO] (trainer.py:174) Episode = 83, T_Steps = 36475, E_Steps = 684, R =  1.4407, succ =  0.5000, FPS =  9.06
05:17:18.753 [INFO] (trainer.py:174) Episode = 84, T_Steps = 36918, E_Steps = 443, R = -0.7187, succ =  0.5000, FPS =  8.31
05:18:30.318 [INFO] (trainer.py:174) Episode = 85, T_Steps = 37585, E_Steps = 667, R =  1.4282, succ =  0.5500, FPS =  9.32
05:19:19.636 [INFO] (trainer.py:174) Episode = 86, T_Steps = 38018, E_Steps = 433, R = -0.7271, succ =  0.5000, FPS =  8.78
05:19:26.556 [INFO] (trainer.py:174) Episode = 87, T_Steps = 38051, E_Steps = 33, R = -0.9800, succ =  0.4500, FPS =  4.77
05:20:38.401 [INFO] (trainer.py:174) Episode = 88, T_Steps = 38687, E_Steps = 636, R =  1.3995, succ =  0.4500, FPS =  8.85
05:20:45.562 [INFO] (trainer.py:174) Episode = 89, T_Steps = 38720, E_Steps = 33, R = -0.9799, succ =  0.4000, FPS =  4.61
05:21:15.546 [INFO] (trainer.py:174) Episode = 90, T_Steps = 38946, E_Steps = 226, R = -0.8575, succ =  0.4000, FPS =  7.54
05:21:48.807 [INFO] (trainer.py:174) Episode = 91, T_Steps = 39222, E_Steps = 276, R = -0.8242, succ =  0.4000, FPS =  8.30
05:23:02.631 [INFO] (trainer.py:174) Episode = 92, T_Steps = 39873, E_Steps = 651, R =  1.4161, succ =  0.4500, FPS =  8.82
05:24:17.621 [INFO] (trainer.py:174) Episode = 93, T_Steps = 40530, E_Steps = 657, R =  1.4187, succ =  0.4500, FPS =  8.76
05:25:16.147 [INFO] (trainer.py:174) Episode = 94, T_Steps = 41055, E_Steps = 525, R = -0.6672, succ =  0.4500, FPS =  8.97
05:26:03.290 [INFO] (trainer.py:174) Episode = 95, T_Steps = 41476, E_Steps = 421, R = -0.7295, succ =  0.4500, FPS =  8.93
05:27:18.419 [INFO] (trainer.py:174) Episode = 96, T_Steps = 42142, E_Steps = 666, R =  1.4284, succ =  0.5000, FPS =  8.86
05:28:42.040 [INFO] (trainer.py:174) Episode = 97, T_Steps = 42891, E_Steps = 749, R =  1.4930, succ =  0.5500, FPS =  8.96
05:30:00.891 [INFO] (trainer.py:174) Episode = 98, T_Steps = 43561, E_Steps = 670, R =  1.4273, succ =  0.5500, FPS =  8.50
05:31:18.432 [INFO] (trainer.py:174) Episode = 99, T_Steps = 44228, E_Steps = 667, R = -0.5774, succ =  0.5000, FPS =  8.60
05:32:04.741 [INFO] (trainer.py:174) Episode = 100, T_Steps = 44634, E_Steps = 406, R = -0.7386, succ =  0.5000, FPS =  8.77
05:33:51.741 [INFO] (trainer.py:174) Episode = 101, T_Steps = 45587, E_Steps = 953, R =  1.6570, succ =  0.5000, FPS =  8.91
05:34:45.431 [INFO] (trainer.py:174) Episode = 102, T_Steps = 46060, E_Steps = 473, R = -0.6514, succ =  0.4500, FPS =  8.81
05:34:52.936 [INFO] (trainer.py:174) Episode = 103, T_Steps = 46098, E_Steps = 38, R = -0.9753, succ =  0.4000, FPS =  5.06
05:36:41.190 [INFO] (trainer.py:174) Episode = 104, T_Steps = 47057, E_Steps = 959, R =  1.6601, succ =  0.4500, FPS =  8.86
05:36:48.428 [INFO] (trainer.py:174) Episode = 105, T_Steps = 47096, E_Steps = 39, R = -0.9753, succ =  0.4000, FPS =  5.39
05:38:07.504 [INFO] (trainer.py:174) Episode = 106, T_Steps = 47816, E_Steps = 720, R =  1.4641, succ =  0.4500, FPS =  9.11
05:39:15.577 [INFO] (trainer.py:174) Episode = 107, T_Steps = 48399, E_Steps = 583, R = -0.6260, succ =  0.4500, FPS =  8.56
05:40:32.403 [INFO] (trainer.py:174) Episode = 108, T_Steps = 49069, E_Steps = 670, R =  1.4294, succ =  0.4500, FPS =  8.72
05:41:34.527 [INFO] (trainer.py:174) Episode = 109, T_Steps = 49618, E_Steps = 549, R = -0.6497, succ =  0.4500, FPS =  8.84
05:42:45.778 [INFO] (trainer.py:174) Episode = 110, T_Steps = 50240, E_Steps = 622, R = -0.6065, succ =  0.4500, FPS =  8.73
05:44:03.887 [INFO] (trainer.py:174) Episode = 111, T_Steps = 50916, E_Steps = 676, R =  1.4310, succ =  0.5000, FPS =  8.65
05:45:18.947 [INFO] (trainer.py:174) Episode = 112, T_Steps = 51565, E_Steps = 649, R =  1.4143, succ =  0.5000, FPS =  8.65
05:46:33.234 [INFO] (trainer.py:174) Episode = 113, T_Steps = 52217, E_Steps = 652, R =  1.4170, succ =  0.5000, FPS =  8.78
05:47:29.540 [INFO] (trainer.py:174) Episode = 114, T_Steps = 52693, E_Steps = 476, R = -0.6965, succ =  0.5000, FPS =  8.45
05:48:26.635 [INFO] (trainer.py:174) Episode = 115, T_Steps = 53173, E_Steps = 480, R = -0.6917, succ =  0.5000, FPS =  8.41
05:49:48.236 [INFO] (trainer.py:174) Episode = 116, T_Steps = 53889, E_Steps = 716, R =  1.4652, succ =  0.5000, FPS =  8.77
05:51:04.580 [INFO] (trainer.py:174) Episode = 117, T_Steps = 54555, E_Steps = 666, R =  1.4282, succ =  0.5000, FPS =  8.72
05:52:08.028 [INFO] (trainer.py:174) Episode = 118, T_Steps = 55099, E_Steps = 544, R = -0.6557, succ =  0.4500, FPS =  8.57
05:53:22.486 [INFO] (trainer.py:174) Episode = 119, T_Steps = 55767, E_Steps = 668, R =  1.4267, succ =  0.5000, FPS =  8.97
05:53:51.507 [INFO] (trainer.py:174) Episode = 120, T_Steps = 56013, E_Steps = 246, R = -0.8435, succ =  0.5000, FPS =  8.48
05:55:11.829 [INFO] (trainer.py:174) Episode = 121, T_Steps = 56719, E_Steps = 706, R =  1.4587, succ =  0.5000, FPS =  8.79
05:55:57.696 [INFO] (trainer.py:174) Episode = 122, T_Steps = 57124, E_Steps = 405, R = -0.7382, succ =  0.5000, FPS =  8.83
05:56:49.830 [INFO] (trainer.py:174) Episode = 123, T_Steps = 57569, E_Steps = 445, R = -0.7161, succ =  0.5000, FPS =  8.54
05:57:46.148 [INFO] (trainer.py:174) Episode = 124, T_Steps = 58067, E_Steps = 498, R = -0.6790, succ =  0.4500, FPS =  8.84
