episode,step,episodic_reward,success_rate,episodic_length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
0,30,-1,0.0,30
0,35,-1,0.0,35
0,40,-1,0.0,40
0,45,-1,0.0,45
0,50,-1,0.0,50
0,55,-1,0.0,55
0,60,-1,0.0,60
0,65,-1,0.0,65
1,70,-0.95338434,0.0,1
1,75,-0.95338434,0.0,6
1,80,-0.95338434,0.0,11
1,85,-0.95338434,0.0,16
1,90,-0.95338434,0.0,21
2,95,-0.98440284,0.0,2
2,100,-0.98440284,0.0,7
2,105,-0.98440284,0.0,12
2,110,-0.98440284,0.0,17
2,115,-0.98440284,0.0,22
2,120,-0.98440284,0.0,27
2,125,-0.98440284,0.0,32
2,130,-0.98440284,0.0,37
2,135,-0.98440284,0.0,42
2,140,-0.98440284,0.0,47
2,145,-0.98440284,0.0,52
2,150,-0.98440284,0.0,57
2,155,-0.98440284,0.0,62
2,160,-0.98440284,0.0,67
2,165,-0.98440284,0.0,72
2,170,-0.98440284,0.0,77
2,175,-0.98440284,0.0,82
2,180,-0.98440284,0.0,87
2,185,-0.98440284,0.0,92
2,190,-0.98440284,0.0,97
2,195,-0.98440284,0.0,102
2,200,-0.98440284,0.0,107
2,205,-0.98440284,0.0,112
2,210,-0.98440284,0.0,117
2,215,-0.98440284,0.0,122
2,220,-0.98440284,0.0,127
2,225,-0.98440284,0.0,132
2,230,-0.98440284,0.0,137
2,235,-0.98440284,0.0,142
2,240,-0.98440284,0.0,147
2,245,-0.98440284,0.0,152
2,250,-0.98440284,0.0,157
2,255,-0.98440284,0.0,162
2,260,-0.98440284,0.0,167
2,265,-0.98440284,0.0,172
2,270,-0.98440284,0.0,177
2,275,-0.98440284,0.0,182
2,280,-0.98440284,0.0,187
2,285,-0.98440284,0.0,192
2,290,-0.98440284,0.0,197
2,295,-0.98440284,0.0,202
2,300,-0.98440284,0.0,207
2,305,-0.98440284,0.0,212
2,310,-0.98440284,0.0,217
2,315,-0.98440284,0.0,222
2,320,-0.98440284,0.0,227
2,325,-0.98440284,0.0,232
