10:22:28.055 [INFO] (trainer.py:174) Episode = 1, T_Steps = 137, E_Steps = 137, R = -0.9109, succ =  0.0000, FPS =  9.22
10:22:43.896 [INFO] (trainer.py:174) Episode = 2, T_Steps = 416, E_Steps = 279, R = -0.8221, succ =  0.0000, FPS = 17.61
10:22:50.339 [INFO] (trainer.py:174) Episode = 3, T_Steps = 492, E_Steps = 76, R = -0.9501, succ =  0.0000, FPS = 11.80
10:23:04.687 [INFO] (trainer.py:174) Episode = 4, T_Steps = 750, E_Steps = 258, R = -0.8338, succ =  0.0000, FPS = 17.99
10:23:32.194 [INFO] (trainer.py:174) Episode = 5, T_Steps = 1334, E_Steps = 584, R =  1.3792, succ =  0.0500, FPS = 21.23
10:23:42.795 [INFO] (trainer.py:174) Episode = 6, T_Steps = 1518, E_Steps = 184, R = -0.8829, succ =  0.0500, FPS = 17.36
10:23:47.189 [INFO] (trainer.py:174) Episode = 7, T_Steps = 1548, E_Steps = 30, R = -0.9813, succ =  0.0500, FPS =  6.84
10:23:51.216 [INFO] (trainer.py:174) Episode = 8, T_Steps = 1571, E_Steps = 23, R = -0.9851, succ =  0.0500, FPS =  5.72
10:23:58.038 [INFO] (trainer.py:174) Episode = 9, T_Steps = 1658, E_Steps = 87, R = -0.9429, succ =  0.0500, FPS = 12.76
10:24:13.579 [INFO] (trainer.py:174) Episode = 10, T_Steps = 1972, E_Steps = 314, R = -0.7964, succ =  0.0500, FPS = 20.21
10:24:32.677 [INFO] (trainer.py:174) Episode = 11, T_Steps = 2320, E_Steps = 348, R = -0.7765, succ =  0.0500, FPS = 18.22
10:24:38.970 [INFO] (trainer.py:174) Episode = 12, T_Steps = 2391, E_Steps = 71, R = -0.9539, succ =  0.0500, FPS = 11.28
10:24:44.503 [INFO] (trainer.py:174) Episode = 13, T_Steps = 2453, E_Steps = 62, R = -0.9572, succ =  0.0500, FPS = 11.21
10:25:05.382 [INFO] (trainer.py:174) Episode = 14, T_Steps = 2886, E_Steps = 433, R = -0.7233, succ =  0.0500, FPS = 20.74
10:25:09.573 [INFO] (trainer.py:174) Episode = 15, T_Steps = 2909, E_Steps = 23, R = -0.9848, succ =  0.0500, FPS =  5.49
10:25:15.989 [INFO] (trainer.py:174) Episode = 16, T_Steps = 2984, E_Steps = 75, R = -0.9479, succ =  0.0500, FPS = 11.69
10:25:34.624 [INFO] (trainer.py:174) Episode = 17, T_Steps = 3328, E_Steps = 344, R = -0.7768, succ =  0.0500, FPS = 18.46
10:25:56.643 [INFO] (trainer.py:174) Episode = 18, T_Steps = 3802, E_Steps = 474, R = -0.6961, succ =  0.0500, FPS = 21.53
10:26:11.258 [INFO] (trainer.py:174) Episode = 19, T_Steps = 4107, E_Steps = 305, R = -0.8020, succ =  0.0500, FPS = 20.87
10:26:15.566 [INFO] (trainer.py:174) Episode = 20, T_Steps = 4132, E_Steps = 25, R = -0.9844, succ =  0.0500, FPS =  5.80
10:26:43.148 [INFO] (trainer.py:174) Episode = 21, T_Steps = 4749, E_Steps = 617, R =  1.3999, succ =  0.1000, FPS = 22.37
10:26:47.212 [INFO] (trainer.py:174) Episode = 22, T_Steps = 4775, E_Steps = 26, R = -0.9838, succ =  0.1000, FPS =  6.40
10:27:14.737 [INFO] (trainer.py:174) Episode = 23, T_Steps = 5334, E_Steps = 559, R = -0.6363, succ =  0.1000, FPS = 20.31
10:27:34.898 [INFO] (trainer.py:174) Episode = 24, T_Steps = 5790, E_Steps = 456, R = -0.7048, succ =  0.1000, FPS = 22.62
10:28:22.288 [INFO] (trainer.py:174) Episode = 25, T_Steps = 6280, E_Steps = 490, R = -0.6851, succ =  0.0500, FPS = 10.34
10:28:28.565 [INFO] (trainer.py:174) Episode = 26, T_Steps = 6313, E_Steps = 33, R = -0.9789, succ =  0.0500, FPS =  5.26
10:28:34.231 [INFO] (trainer.py:174) Episode = 27, T_Steps = 6345, E_Steps = 32, R = -0.9798, succ =  0.0500, FPS =  5.65
10:29:28.141 [INFO] (trainer.py:174) Episode = 28, T_Steps = 6807, E_Steps = 462, R = -0.7080, succ =  0.0500, FPS =  8.57
10:30:20.479 [INFO] (trainer.py:174) Episode = 29, T_Steps = 7259, E_Steps = 452, R = -0.7103, succ =  0.0500, FPS =  8.64
10:31:10.408 [INFO] (trainer.py:174) Episode = 30, T_Steps = 7697, E_Steps = 438, R = -0.7215, succ =  0.0500, FPS =  8.77
10:32:02.060 [INFO] (trainer.py:174) Episode = 31, T_Steps = 8148, E_Steps = 451, R = -0.7140, succ =  0.0500, FPS =  8.73
10:32:49.718 [INFO] (trainer.py:174) Episode = 32, T_Steps = 8574, E_Steps = 426, R = -0.7259, succ =  0.0500, FPS =  8.94
10:34:10.784 [INFO] (trainer.py:174) Episode = 33, T_Steps = 9269, E_Steps = 695, R =  1.4440, succ =  0.1000, FPS =  8.57
10:35:26.250 [INFO] (trainer.py:174) Episode = 34, T_Steps = 9927, E_Steps = 658, R =  1.4207, succ =  0.1500, FPS =  8.72
10:36:45.271 [INFO] (trainer.py:174) Episode = 35, T_Steps = 10613, E_Steps = 686, R =  1.4416, succ =  0.2000, FPS =  8.68
10:37:37.249 [INFO] (trainer.py:174) Episode = 36, T_Steps = 11078, E_Steps = 465, R = -0.7040, succ =  0.2000, FPS =  8.95
10:37:44.244 [INFO] (trainer.py:174) Episode = 37, T_Steps = 11112, E_Steps = 34, R = -0.9790, succ =  0.2000, FPS =  4.86
10:38:36.463 [INFO] (trainer.py:174) Episode = 38, T_Steps = 11557, E_Steps = 445, R = -0.7181, succ =  0.2000, FPS =  8.52
10:39:12.177 [INFO] (trainer.py:174) Episode = 39, T_Steps = 11876, E_Steps = 319, R = -0.7966, succ =  0.2000, FPS =  8.93
10:40:31.582 [INFO] (trainer.py:174) Episode = 40, T_Steps = 12560, E_Steps = 684, R =  1.4408, succ =  0.2500, FPS =  8.61
10:40:38.452 [INFO] (trainer.py:174) Episode = 41, T_Steps = 12593, E_Steps = 33, R = -0.9797, succ =  0.2000, FPS =  4.80
10:41:50.241 [INFO] (trainer.py:174) Episode = 42, T_Steps = 13240, E_Steps = 647, R =  1.4154, succ =  0.2500, FPS =  9.01
10:42:48.992 [INFO] (trainer.py:174) Episode = 43, T_Steps = 13725, E_Steps = 485, R = -0.6919, succ =  0.2500, FPS =  8.26
10:43:47.193 [INFO] (trainer.py:174) Episode = 44, T_Steps = 14235, E_Steps = 510, R = -0.6728, succ =  0.2500, FPS =  8.76
10:44:57.732 [INFO] (trainer.py:174) Episode = 45, T_Steps = 14850, E_Steps = 615, R =  1.3969, succ =  0.3000, FPS =  8.72
10:45:57.779 [INFO] (trainer.py:174) Episode = 46, T_Steps = 15373, E_Steps = 523, R = -0.6649, succ =  0.3000, FPS =  8.71
10:47:07.594 [INFO] (trainer.py:174) Episode = 47, T_Steps = 15977, E_Steps = 604, R =  1.3898, succ =  0.3500, FPS =  8.65
10:47:15.630 [INFO] (trainer.py:174) Episode = 48, T_Steps = 16014, E_Steps = 37, R = -0.9769, succ =  0.3500, FPS =  4.61
10:48:11.202 [INFO] (trainer.py:174) Episode = 49, T_Steps = 16499, E_Steps = 485, R = -0.6896, succ =  0.3500, FPS =  8.73
10:49:04.921 [INFO] (trainer.py:174) Episode = 50, T_Steps = 16959, E_Steps = 460, R = -0.7046, succ =  0.3500, FPS =  8.56
10:49:42.562 [INFO] (trainer.py:174) Episode = 51, T_Steps = 17265, E_Steps = 306, R = -0.7992, succ =  0.3500, FPS =  8.13
10:51:03.078 [INFO] (trainer.py:174) Episode = 52, T_Steps = 17961, E_Steps = 696, R =  1.4513, succ =  0.4000, FPS =  8.64
10:51:29.697 [INFO] (trainer.py:174) Episode = 53, T_Steps = 18181, E_Steps = 220, R = -0.8553, succ =  0.3500, FPS =  8.27
10:51:52.659 [INFO] (trainer.py:174) Episode = 54, T_Steps = 18363, E_Steps = 182, R = -0.8753, succ =  0.3000, FPS =  7.93
10:52:06.376 [INFO] (trainer.py:174) Episode = 55, T_Steps = 18480, E_Steps = 117, R = -0.9202, succ =  0.2500, FPS =  8.53
10:52:13.253 [INFO] (trainer.py:174) Episode = 56, T_Steps = 18507, E_Steps = 27, R = -0.9825, succ =  0.2500, FPS =  3.93
10:52:39.119 [INFO] (trainer.py:174) Episode = 57, T_Steps = 18710, E_Steps = 203, R = -0.8642, succ =  0.2500, FPS =  7.85
10:53:50.963 [INFO] (trainer.py:174) Episode = 58, T_Steps = 19346, E_Steps = 636, R =  1.4277, succ =  0.3000, FPS =  8.85
10:54:48.876 [INFO] (trainer.py:174) Episode = 59, T_Steps = 19854, E_Steps = 508, R = -0.6527, succ =  0.3000, FPS =  8.77
10:56:22.960 [INFO] (trainer.py:174) Episode = 60, T_Steps = 20685, E_Steps = 831, R =  1.5611, succ =  0.3000, FPS =  8.83
