19:37:20.499 [INFO] (trainer.py:174) Episode = 1, T_Steps = 272, E_Steps = 272, R = -0.8244, succ =  0.0000, FPS = 12.85
19:37:28.421 [INFO] (trainer.py:174) Episode = 2, T_Steps = 394, E_Steps = 122, R = -0.9187, succ =  0.0000, FPS = 15.40
19:37:36.103 [INFO] (trainer.py:174) Episode = 3, T_Steps = 496, E_Steps = 102, R = -0.9330, succ =  0.0000, FPS = 13.28
19:37:58.071 [INFO] (trainer.py:174) Episode = 4, T_Steps = 953, E_Steps = 457, R = -0.7044, succ =  0.0000, FPS = 20.80
19:38:28.010 [INFO] (trainer.py:174) Episode = 5, T_Steps = 1573, E_Steps = 620, R =  1.4046, succ =  0.0500, FPS = 20.72
19:38:55.305 [INFO] (trainer.py:174) Episode = 6, T_Steps = 2150, E_Steps = 577, R =  1.3772, succ =  0.1000, FPS = 21.14
19:39:18.059 [INFO] (trainer.py:174) Episode = 7, T_Steps = 2635, E_Steps = 485, R = -0.6907, succ =  0.1000, FPS = 21.32
19:39:22.426 [INFO] (trainer.py:174) Episode = 8, T_Steps = 2665, E_Steps = 30, R = -0.9794, succ =  0.1000, FPS =  6.87
19:39:50.573 [INFO] (trainer.py:174) Episode = 9, T_Steps = 3288, E_Steps = 623, R =  1.4071, succ =  0.1500, FPS = 22.14
19:40:06.121 [INFO] (trainer.py:174) Episode = 10, T_Steps = 3562, E_Steps = 274, R = -0.8224, succ =  0.1500, FPS = 17.62
19:40:32.534 [INFO] (trainer.py:174) Episode = 11, T_Steps = 4113, E_Steps = 551, R = -0.6467, succ =  0.1500, FPS = 20.86
19:40:35.969 [INFO] (trainer.py:174) Episode = 12, T_Steps = 4141, E_Steps = 28, R = -0.9821, succ =  0.1500, FPS =  8.16
19:40:40.437 [INFO] (trainer.py:174) Episode = 13, T_Steps = 4164, E_Steps = 23, R = -0.9848, succ =  0.1500, FPS =  5.15
19:40:58.382 [INFO] (trainer.py:174) Episode = 14, T_Steps = 4498, E_Steps = 334, R = -0.7841, succ =  0.1500, FPS = 18.61
19:41:02.446 [INFO] (trainer.py:174) Episode = 15, T_Steps = 4524, E_Steps = 26, R = -0.9835, succ =  0.1500, FPS =  6.40
